SEQNAME	SOURCE	FEATURE	START	END	SCORE	STRAND	FRAME	ATTRIBUTE
V01555.2	genbank	stop_codon	111785	111787	.	+	1	gene_id "BKRF4"; transcript_id "BKRF4_lytic"; 
V01555.2	genbank	3UTR	111788	111792	.	+	.	gene_id "BKRF4"; transcript_id "BKRF4_lytic"; # predicted polyA at 111787
V01555.2	genbank	exon	113901	116790	.	+	.	gene_id "BBRF1"; transcript_id "BBRF1_lytic"; # predicted TATA at 113876
V01555.2	genbank	5UTR	113901	114203	.	+	.	gene_id "BBRF1"; transcript_id "BBRF1_lytic";
V01555.2	genbank	start_codon	114204	114206	.	+	2	gene_id "BBRF1"; transcript_id "BBRF1_lytic";
V01555.2	genbank	CDS	114204	116042	.	+	2	gene_id "BBRF1"; transcript_id "BBRF1_lytic"; 
V01555.2	genbank	stop_codon	116043	116045	.	+	2	gene_id "BBRF1"; transcript_id "BBRF1_lytic"; 
V01555.2	genbank	3UTR	116046	116790	.	+	.	gene_id "BBRF1"; transcript_id "BBRF1_lytic"; # predicted polyA at 116785
V01555.2	genbank	exon	115947	116790	.	+	.	gene_id "BBRF2"; transcript_id "BBRF2_lytic"; # used ATG-1
V01555.2	genbank	5UTR	115947	115947	.	+	.	gene_id "BBRF2"; transcript_id "BBRF2_lytic";
V01555.2	genbank	start_codon	115948	115950	.	+	0	gene_id "BBRF2"; transcript_id "BBRF2_lytic";
V01555.2	genbank	CDS	115948	116781	.	+	0	gene_id "BBRF2"; transcript_id "BBRF2_lytic"; 
V01555.2	genbank	stop_codon	116782	116784	.	+	0	gene_id "BBRF2"; transcript_id "BBRF2_lytic"; 
V01555.2	genbank	3UTR	116785	116790	.	+	.	gene_id "BBRF2"; transcript_id "BBRF2_lytic"; # predicted polyA at 116785
V01555.2	genbank	exon	119123	120363	.	+	.	gene_id "BBRF3"; transcript_id "BBRF3_lytic"; # predicted TATA at 119098
V01555.2	genbank	5UTR	119123	119136	.	+	.	gene_id "BBRF3"; transcript_id "BBRF3_lytic";
V01555.2	genbank	start_codon	119137	119139	.	+	0	gene_id "BBRF3"; transcript_id "BBRF3_lytic";
V01555.2	genbank	CDS	119137	120351	.	+	0	gene_id "BBRF3"; transcript_id "BBRF3_lytic"; 
V01555.2	genbank	stop_codon	120352	120354	.	+	0	gene_id "BBRF3"; transcript_id "BBRF3_lytic"; 
V01555.2	genbank	3UTR	120355	120363	.	+	.	gene_id "BBRF3"; transcript_id "BBRF3_lytic"; # predicted polyA at 120358
V01555.2	genbank	exon	137464	140975	.	+	.	gene_id "BcRF1"; transcript_id "BcRF1_lytic"; used ATG-1
V01555.2	genbank	5UTR	137464	137464	.	+	.	gene_id "BcRF1"; transcript_id "BcRF1_lytic";
V01555.2	genbank	start_codon	137465	137467	.	+	1	gene_id "BcRF1"; transcript_id "BcRF1_lytic";
V01555.2	genbank	CDS	137465	139715	.	+	1	gene_id "BcRF1"; transcript_id "BcRF1_lytic";
V01555.2	genbank	stop_codon	139716	139718	.	+	1	gene_id "BcRF1"; transcript_id "BcRF1_lytic";
V01555.2	genbank	3UTR	139719	140975	.	+	.	gene_id "BcRF1"; transcript_id "BcRF1_lytic"; # predicted polyA at 140970
V01555.2	genbank	exon	139704	140975	.	+	.	gene_id "BTRF1"; transcript_id "BTRF1_lytic"; used ATG-1
V01555.2	genbank	5UTR	139704	139704	.	+	.	gene_id "BTRF1"; transcript_id "BTRF1_lytic";
V01555.2	genbank	start_codon	139705	139707	.	+	0	gene_id "BTRF1"; transcript_id "BTRF1_lytic";
V01555.2	genbank	CDS	139705	140915	.	+	0	gene_id "BTRF1"; transcript_id "BTRF1_lytic";
V01555.2	genbank	stop_codon	140916	140919	.	+	0	gene_id "BTRF1"; transcript_id "BTRF1_lytic";
V01555.2	genbank	3UTR	140920	140975	.	+	.	gene_id "BTRF1"; transcript_id "BTRF1_lytic"; # predicted polyA at 140970
V01555.2	genbank	exon	144859	147175	.	+	.	gene_id "BXRF1"; transcript_id "BXRF1_lytic"; used ATG-1
V01555.2	genbank	5UTR	144859	144859	.	+	.	gene_id "BXRF1"; transcript_id "BXRF1_lytic";
V01555.2	genbank	start_codon	144860	144862	.	+	1	gene_id "BXRF1"; transcript_id "BXRF1_lytic";
V01555.2	genbank	CDS	144860	145603	.	+	1	gene_id "BXRF1"; transcript_id "BXRF1_lytic";
V01555.2	genbank	stop_codon	145604	145606	.	+	1	gene_id "BXRF1"; transcript_id "BXRF1_lytic";
V01555.2	genbank	3UTR	145607	147175	.	+	.	gene_id "BXRF1"; transcript_id "BXRF1_lytic"; # predicted polyA at 147170
V01555.2	genbank	exon	145327	147175	.	+	.	gene_id "BVRF1"; transcript_id "BVRF1_lytic"; # predicted TATA at 145302
V01555.2	genbank	5UTR	145327	145415	.	+	.	gene_id "BVRF1"; transcript_id "BVRF1_lytic";
V01555.2	genbank	start_codon	145416	145418	.	+	2	gene_id "BVRF1"; transcript_id "BVRF1_lytic";
V01555.2	genbank	CDS	145416	147125	.	+	2	gene_id "BVRF1"; transcript_id "BVRF1_lytic";
V01555.2	genbank	stop_codon	147126	147128	.	+	2	gene_id "BVRF1"; transcript_id "BVRF1_lytic";
V01555.2	genbank	3UTR	147129	147175	.	+	.	gene_id "BVRF1"; transcript_id "BVRF1_lytic"; # predicted polyA at 147170
V01555.2	genbank	exon	147746	149745	.	+	.	gene_id "BVRF2"; transcript_id "BVRF2_lytic"; # predicted TATA at 147721
V01555.2	genbank	5UTR	147746	147926	.	+	.	gene_id "BVRF2"; transcript_id "BVRF2_lytic";
V01555.2	genbank	start_codon	147927	147929	.	+	2	gene_id "BVRF2"; transcript_id "BVRF2_lytic";
V01555.2	genbank	CDS	147927	149741	.	+	2	gene_id "BVRF2"; transcript_id "BVRF2_lytic";
V01555.2	genbank	stop_codon	149742	149744	.	+	2	gene_id "BVRF2"; transcript_id "BVRF2_lytic";
V01555.2	genbank	3UTR	149745	149745	.	+	.	gene_id "BVRF2"; transcript_id "BVRF2_lytic"; # predicted polyA at 149727
V01555.2	genbank	exon	148645	149745	.	+	.	gene_id "BdRF1"; transcript_id "BdRF1_lytic"; # TATA at 148620
V01555.2	genbank	5UTR	148645	148706	.	+	.	gene_id "BdRF1"; transcript_id "BdRF1_lytic";
V01555.2	genbank	start_codon	148707	148709	.	+	2	gene_id "BdRF1"; transcript_id "BdRF1_lytic";
V01555.2	genbank	CDS	148707	149741	.	+	2	gene_id "BdRF1"; transcript_id "BdRF1_lytic";
V01555.2	genbank	stop_codon	149742	149744	.	+	2	gene_id "BdRF1"; transcript_id "BdRF1_lytic";
V01555.2	genbank	3UTR	149745	149745	.	+	.	gene_id "BdRF1"; transcript_id "BdRF1_lytic"; # predicted polyA at 149727
V01555.2	genbank	exon	165491	166170	.	+	.	gene_id "BARF1"; transcript_id "BARF1_lytic"; # predicted TATA at 165466
V01555.2	genbank	5UTR	165491	165503	.	+	.	gene_id "BARF1"; transcript_id "BARF1_lytic";
V01555.2	genbank	start_codon	165504	165506	.	+	2	gene_id "BARF1"; transcript_id "BARF1_lytic";
V01555.2	genbank	CDS	165504	166166	.	+	2	gene_id "BARF1"; transcript_id "BARF1_lytic";
V01555.2	genbank	stop_codon	166167	166169	.	+	2	gene_id "BARF1"; transcript_id "BARF1_lytic";
V01555.2	genbank	3UTR	166170	166170	.	+	.	gene_id "BARF1"; transcript_id "BARF1_lytic"; # predicted polyA at 166165
V01555.2	genbank	exon	1701	5856	.	+	.	gene_id "BNRF1"; transcript_id "BNRF1_lytic"; # predicted TATA at 1676
V01555.2	genbank	5UTR	1701	1735	.	+	.	gene_id "BNRF1"; transcript_id "BNRF1_lytic";
V01555.2	genbank	start_codon	1736	1738	.	+	1	gene_id "BNRF1"; transcript_id "BNRF1_lytic";
V01555.2	genbank	CDS	1736	5689	.	+	1	gene_id "BNRF1"; transcript_id "BNRF1_lytic";
V01555.2	genbank	stop_codon	5690	5692	.	+	1	gene_id "BNRF1"; transcript_id "BNRF1_lytic";
V01555.2	genbank	3UTR	5693	5856	.	+	.	gene_id "BNRF1"; transcript_id "BNRF1_lytic"; # predicted polyA at 5841
V01555.2	genbank	exon	6629	6795	.	+	.	gene_id "EBER1"; transcript_id "EBER1_latent";
V01555.2	genbank	exon	6956	7128	.	+	.	gene_id "EBER2"; transcript_id "EBER2_latent";
V01555.2	genbank	exon	9656	10262	.	+	.	gene_id "BCRF1"; transcript_id "BCRF1_lytic"; # predicted TATA at 9631
V01555.2	genbank	5UTR	9656	9674	.	+	.	gene_id "BCRF1"; transcript_id "BCRF1_lytic";
V01555.2	genbank	start_codon	9675	9677	.	+	2	gene_id "BCRF1"; transcript_id "BCRF1_lytic";
V01555.2	genbank	CDS	9675	10184	.	+	2	gene_id "BCRF1"; transcript_id "BCRF1_lytic";
V01555.2	genbank	stop_codon	10185	10187	.	+	2	gene_id "BCRF1"; transcript_id "BCRF1_lytic";
V01555.2	genbank	3UTR	10188	10262	.	+	.	gene_id "BCRF1"; transcript_id "BCRF1_lytic"; # predicted TATA at 10257
V01555.2	genbank	exon	53784	55523	.	+	.	gene_id "BHRF1"; transcript_id "BHRF1_lytic3"; # predicted TATA at 53759
V01555.2	genbank	5UTR	53784	54375	.	+	.	gene_id "BHRF1"; transcript_id "BHRF1_lytic3";
V01555.2	genbank	start_codon	54376	54378	.	+	0	gene_id "BHRF1"; transcript_id "BHRF1_lytic3";
V01555.2	genbank	CDS	54376	54948	.	+	0	gene_id "BHRF1"; transcript_id "BHRF1_lytic3";
V01555.2	genbank	stop_codon	54949	54951	.	+	0	gene_id "BHRF1"; transcript_id "BHRF1_lytic3";
V01555.2	genbank	3UTR	54952	55523	.	+	.	gene_id "BHRF1"; transcript_id "BHRF1_lytic3"; # predicted polyA at 55518
V01555.2	genbank	exon	53784	55523	.	+	.	gene_id "BHRF1"; transcript_id "BHRF1_lytic4"; # predicted TATA at 53759
V01555.2	genbank	5UTR	53784	53895	.	+	.	gene_id "BHRF1"; transcript_id "BHRF1_lytic4";
V01555.2	genbank	5UTR	54335	54375	.	+	.	gene_id "BHRF1"; transcript_id "BHRF1_lytic4";
V01555.2	genbank	start_codon	54376	54378	.	+	0	gene_id "BHRF1"; transcript_id "BHRF1_lytic4";
V01555.2	genbank	CDS	54376	54948	.	+	0	gene_id "BHRF1"; transcript_id "BHRF1_lytic4";
V01555.2	genbank	stop_codon	54949	54951	.	+	0	gene_id "BHRF1"; transcript_id "BHRF1_lytic4";
V01555.2	genbank	3UTR	54952	55523	.	+	.	gene_id "BHRF1"; transcript_id "BHRF1_lytic4"; # predicted polyA at 55518
V01555.2	genbank	exon	58523	62075	.	+	.	gene_id "BFRF0.5"; transcript_id "BFRF0.5_lytic"; # used ATG-1
V01555.2	genbank	5UTR	58523	58523	.	+	.	gene_id "BFRF0.5"; transcript_id "BFRF0.5_lytic";
V01555.2	genbank	start_codon	58524	58526	.	+	2	gene_id "BFRF0.5"; transcript_id "BFRF0.5_lytic";
V01555.2	genbank	CDS	58524	58928	.	+	2	gene_id "BFRF0.5"; transcript_id "BFRF0.5_lytic";
V01555.2	genbank	stop_codon	58929	58931	.	+	2	gene_id "BFRF0.5"; transcript_id "BFRF0.5_lytic";
V01555.2	genbank	3UTR	58932	62075	.	+	.	gene_id "BFRF0.5"; transcript_id "BFRF0.5_lytic"; # predicted polyA at 62069
V01555.2	genbank	exon	58857	62075	.	+	.	gene_id "BFRF1"; transcript_id "BFRF1_lytic"; # predicted TATA at 58832
V01555.2	genbank	5UTR	58857	58890	.	+	.	gene_id "BFRF1"; transcript_id "BFRF1_lytic";
V01555.2	genbank	start_codon	58891	58893	.	+	0	gene_id "BFRF1"; transcript_id "BFRF1_lytic";
V01555.2	genbank	CDS	58891	59898	.	+	0	gene_id "BFRF1"; transcript_id "BFRF1_lytic";
V01555.2	genbank	stop_codon	59899	59901	.	+	0	gene_id "BFRF1"; transcript_id "BFRF1_lytic";
V01555.2	genbank	3UTR	59902	62075	.	+	.	gene_id "BFRF1"; transcript_id "BFRF1_lytic"; # predicted polyA at 62069
V01555.2	genbank	exon	59807	62075	.	+	.	gene_id "BFRF2"; transcript_id "BFRF2_lytic"; # used ATG-1
V01555.2	genbank	5UTR	59807	59807	.	+	.	gene_id "BFRF2"; transcript_id "BFRF2_lytic";
V01555.2	genbank	start_codon	59808	59810	.	+	2	gene_id "BFRF2"; transcript_id "BFRF2_lytic";
V01555.2	genbank	CDS	59808	61580	.	+	2	gene_id "BFRF2"; transcript_id "BFRF2_lytic";
V01555.2	genbank	stop_codon	61581	61583	.	+	2	gene_id "BFRF2"; transcript_id "BFRF2_lytic";
V01555.2	genbank	3UTR	61584	62075	.	+	.	gene_id "BFRF2"; transcript_id "BFRF2_lytic"; # predicted polyA at 62069
V01555.2	genbank	exon	61369	62075	.	+	.	gene_id "BFRF3"; transcript_id "BFRF3_lytic"; # predicted TATA at 61344
V01555.2	genbank	5UTR	61369	61506	.	+	.	gene_id "BFRF3"; transcript_id "BFRF3_lytic";
V01555.2	genbank	start_codon	61507	61509	.	+	0	gene_id "BFRF3"; transcript_id "BFRF3_lytic";
V01555.2	genbank	CDS	61507	62034	.	+	0	gene_id "BFRF3"; transcript_id "BFRF3_lytic";
V01555.2	genbank	stop_codon	62035	62037	.	+	0	gene_id "BFRF3"; transcript_id "BFRF3_lytic";
V01555.2	genbank	3UTR	62038	62075	.	+	.	gene_id "BFRF3"; transcript_id "BFRF3_lytic"; # predicted polyA at 62069
V01555.2	genbank	exon	75042	78888	.	+	.	gene_id "BORF1"; transcript_id "BORF1_lytic"; # predicted TATA at 75017
V01555.2	genbank	5UTR	75042	75237	.	+	.	gene_id "BORF1"; transcript_id "BORF1_lytic";
V01555.2	genbank	start_codon	75238	75240	.	+	0	gene_id "BORF1"; transcript_id "BORF1_lytic";
V01555.2	genbank	CDS	75238	76329	.	+	0	gene_id "BORF1"; transcript_id "BORF1_lytic";
V01555.2	genbank	stop_codon	76330	76332	.	+	0	gene_id "BORF1"; transcript_id "BORF1_lytic";
V01555.2	genbank	3UTR	76333	78888	.	+	.	gene_id "BORF1"; transcript_id "BORF1_lytic"; # predicted polyA at 78883
V01555.2	genbank	exon	76194	78888	.	+	.	gene_id "BORF2"; transcript_id "BORF2_lytic"; # predicted TATA at 76169
V01555.2	genbank	5UTR	76194	76406	.	+	.	gene_id "BORF2"; transcript_id "BORF2_lytic";
V01555.2	genbank	start_codon	76407	76409	.	+	2	gene_id "BORF2"; transcript_id "BORF2_lytic";
V01555.2	genbank	CDS	76407	78884	.	+	2	gene_id "BORF2"; transcript_id "BORF2_lytic";
V01555.2	genbank	stop_codon	78885	78887	.	+	2	gene_id "BORF2"; transcript_id "BORF2_lytic";
V01555.2	genbank	3UTR	78888	78888	.	+	.	gene_id "BORF2"; transcript_id "BORF2_lytic"; # predicted polyA at 78883
V01555.2	genbank	exon	78829	82185	.	+	.	gene_id "BaRF1"; transcript_id "BaRF1_lytic"; # predicted TATA at 78804
V01555.2	genbank	5UTR	78829	78899	.	+	.	gene_id "BaRF1"; transcript_id "BaRF1_lytic";
V01555.2	genbank	start_codon	78900	78902	.	+	2	gene_id "BaRF1"; transcript_id "BaRF1_lytic";
V01555.2	genbank	CDS	78900	79805	.	+	2	gene_id "BaRF1"; transcript_id "BaRF1_lytic";
V01555.2	genbank	stop_codon	79806	79808	.	+	2	gene_id "BaRF1"; transcript_id "BaRF1_lytic";
V01555.2	genbank	3UTR	79809	82185	.	+	.	gene_id "BaRF1"; transcript_id "BaRF1_lytic"; # predicted polyA at 82180
V01555.2	genbank	exon	79865	82185	.	+	.	gene_id "BMRF1"; transcript_id "BMRF1_lytic"; # predicted TATA at 79840
V01555.2	genbank	5UTR	79865	79898	.	+	.	gene_id "BMRF1"; transcript_id "BMRF1_lytic";
V01555.2	genbank	start_codon	79899	79901	.	+	2	gene_id "BMRF1"; transcript_id "BMRF1_lytic";
V01555.2	genbank	CDS	79899	81110	.	+	2	gene_id "BMRF1"; transcript_id "BMRF1_lytic";
V01555.2	genbank	stop_codon	81111	81113	.	+	2	gene_id "BMRF1"; transcript_id "BMRF1_lytic";
V01555.2	genbank	3UTR	81114	82185	.	+	.	gene_id "BMRF1"; transcript_id "BMRF1_lytic"; # predicted polyA at 82180
V01555.2	genbank	exon	80804	82185	.	+	.	gene_id "BMRF2"; transcript_id "BMRF2_lytic"; # predicted TATA at 80779
V01555.2	genbank	5UTR	80804	81117	.	+	.	gene_id "BMRF2"; transcript_id "BMRF2_lytic";
V01555.2	genbank	start_codon	81118	81120	.	+	0	gene_id "BMRF2"; transcript_id "BMRF2_lytic";
V01555.2	genbank	CDS	81118	82188	.	+	0	gene_id "BMRF2"; transcript_id "BMRF2_lytic";
V01555.2	genbank	stop_codon	82189	82191	.	+	0	gene_id "BMRF2"; transcript_id "BMRF2_lytic";
V01555.2	genbank	3UTR	82192	82185	.	+	.	gene_id "BMRF2"; transcript_id "BMRF2_lytic"; # predicted polyA at 82180
V01555.2	genbank	exon	86907	87604	.	+	.	gene_id "BSRF1"; transcript_id "BSRF1_lytic"; # predicted TATA at 86882
V01555.2	genbank	5UTR	86907	86923	.	+	.	gene_id "BSRF1"; transcript_id "BSRF1_lytic";
V01555.2	genbank	start_codon	86924	86926	.	+	1	gene_id "BSRF1"; transcript_id "BSRF1_lytic";
V01555.2	genbank	CDS	86924	87577	.	+	1	gene_id "BSRF1"; transcript_id "BSRF1_lytic";
V01555.2	genbank	stop_codon	87578	87580	.	+	1	gene_id "BSRF1"; transcript_id "BSRF1_lytic";
V01555.2	genbank	3UTR	87581	87604	.	+	.	gene_id "BSRF1"; transcript_id "BSRF1_lytic"; # predicted polyA at 87599
V01555.2	genbank	exon	88532	89417	.	+	.	gene_id "BLRF1"; transcript_id "BLRF1_lytic"; # predicted TATA at 88507
V01555.2	genbank	5UTR	88532	88546	.	+	.	gene_id "BLRF1"; transcript_id "BLRF1_lytic";
V01555.2	genbank	start_codon	88547	88549	.	+	1	gene_id "BLRF1"; transcript_id "BLRF1_lytic";
V01555.2	genbank	CDS	88547	88852	.	+	1	gene_id "BLRF1"; transcript_id "BLRF1_lytic";
V01555.2	genbank	stop_codon	88853	88855	.	+	1	gene_id "BLRF1"; transcript_id "BLRF1_lytic";
V01555.2	genbank	3UTR	88856	89417	.	+	.	gene_id "BLRF1"; transcript_id "BLRF1_lytic"; # predicted polyA at 89412
V01555.2	genbank	exon	88888	89417	.	+	.	gene_id "BLRF2"; transcript_id "BLRF2_lytic"; # predicted TATA at 88863
V01555.2	genbank	5UTR	88888	88924	.	+	.	gene_id "BLRF2"; transcript_id "BLRF2_lytic";
V01555.2	genbank	start_codon	88925	88927	.	+	1	gene_id "BLRF2"; transcript_id "BLRF2_lytic";
V01555.2	genbank	CDS	88925	89410	.	+	1	gene_id "BLRF2"; transcript_id "BLRF2_lytic";
V01555.2	genbank	stop_codon	89411	89413	.	+	1	gene_id "BLRF2"; transcript_id "BLRF2_lytic";
V01555.2	genbank	3UTR	89414	89417	.	+	.	gene_id "BLRF2"; transcript_id "BLRF2_lytic"; # predicted polyA at 89412
V01555.2	genbank	exon	105041	106115	.	+	.	gene_id "BRRF1"; transcript_id "BRRF1_lytic"; # predicted TATA at 105016
V01555.2	genbank	5UTR	105041	105181	.	+	.	gene_id "BRRF1"; transcript_id "BRRF1_lytic";
V01555.2	genbank	start_codon	105182	105184	.	+	1	gene_id "BRRF1"; transcript_id "BRRF1_lytic";
V01555.2	genbank	CDS	105182	106111	.	+	1	gene_id "BRRF1"; transcript_id "BRRF1_lytic";
V01555.2	genbank	stop_codon	106112	106114	.	+	1	gene_id "BRRF1"; transcript_id "BRRF1_lytic";
V01555.2	genbank	3UTR	106115	106115	.	+	.	gene_id "BRRF1"; transcript_id "BRRF1_lytic"; # predicted polyA at 106110
V01555.2	genbank	exon	106268	107947	.	+	.	gene_id "BRRF2"; transcript_id "BRRF2_lytic"; # predicted TATA at 106243
V01555.2	genbank	5UTR	106268	106301	.	+	.	gene_id "BRRF2"; transcript_id "BRRF2_lytic";
V01555.2	genbank	start_codon	106302	106304	.	+	2	gene_id "BRRF2"; transcript_id "BRRF2_lytic";
V01555.2	genbank	CDS	106302	107912	.	+	2	gene_id "BRRF2"; transcript_id "BRRF2_lytic";
V01555.2	genbank	stop_codon	107913	107915	.	+	2	gene_id "BRRF2"; transcript_id "BRRF2_lytic";
V01555.2	genbank	3UTR	107916	107947	.	+	.	gene_id "BRRF2"; transcript_id "BRRF2_lytic"; # predicted polyA at 107942
V01555.2	genbank	exon	166941	169176	.	-	.	gene_id "LMP1-D1"; transcript_id "LMP1-D1_lytic";
V01555.2	genbank	3UTR	166941	168159	.	-	.	gene_id "LMP1-D1"; transcript_id "LMP1-D1_lytic"; # predicted polyA at (166946)
V01555.2	genbank	stop_codon	168160	168162	.	-	2	gene_id "LMP1-D1"; transcript_id "LMP1-D1_lytic";
V01555.2	genbank	CDS	168163	168936	.	-	2	gene_id "LMP1-D1"; transcript_id "LMP1-D1_lytic";
V01555.2	genbank	start_codon	168934	168936	.	-	2	gene_id "LMP1-D1"; transcript_id "LMP1-D1_lytic";
V01555.2	genbank	5UTR	168937	169176	.	-	.	gene_id "LMP1-D1"; transcript_id "LMP1-D1_lytic"; # predicted TATA at (169201)
V01555.2	genbank	exon	166941	167500	.	-	.	gene_id "BNLF2a"; transcript_id "BNLF2a_lytic";
V01555.2	genbank	3UTR	166941	167303	.	-	.	gene_id "BNLF2a"; transcript_id "BNLF2a_lytic"; # predicted polyA at (166946)
V01555.2	genbank	stop_codon	167304	167306	.	-	1	gene_id "BNLF2a"; transcript_id "BNLF2a_lytic";
V01555.2	genbank	CDS	167307	167486	.	-	1	gene_id "BNLF2a"; transcript_id "BNLF2a_lytic";
V01555.2	genbank	start_codon	167484	167486	.	-	1	gene_id "BNLF2a"; transcript_id "BNLF2a_lytic";
V01555.2	genbank	5UTR	167487	167500	.	-	.	gene_id "BNLF2a"; transcript_id "BNLF2a_lytic"; # predicted TATA at (167525)
V01555.2	genbank	exon	166941	167295	.	-	.	gene_id "BNLF2b"; transcript_id "BNLF2b_lytic";
V01555.2	genbank	3UTR	166941	166997	.	-	.	gene_id "BNLF2b"; transcript_id "BNLF2b_lytic"; # predicted polyA at (166946)
V01555.2	genbank	stop_codon	166998	167000	.	-	1	gene_id "BNLF2b"; transcript_id "BNLF2b_lytic";
V01555.2	genbank	CDS	167001	167294	.	-	1	gene_id "BNLF2b"; transcript_id "BNLF2b_lytic";
V01555.2	genbank	start_codon	167292	167294	.	-	1	gene_id "BNLF2b"; transcript_id "BNLF2b_lytic";
V01555.2	genbank	5UTR	167295	167295	.	-	.	gene_id "BNLF2b"; transcript_id "BNLF2b_lytic"; # used (ATG-1)
V01555.2	genbank	exon	164846	165688	.	-	.	gene_id "BALF1"; transcript_id "BALF1_lytic"; 
V01555.2	genbank	3UTR	164846	164854	.	-	.	gene_id "BALF1"; transcript_id "BALF1_lytic"; # predicted polyA at (164851)
V01555.2	genbank	stop_codon	164855	164857	.	-	0	gene_id "BALF1"; transcript_id "BALF1_lytic";
V01555.2	genbank	CDS	164858	165403	.	-	0	gene_id "BALF1"; transcript_id "BALF1_lytic";
V01555.2	genbank	start_codon	165401	165403	.	-	0	gene_id "BALF1"; transcript_id "BALF1_lytic";
V01555.2	genbank	5UTR	165404	165688	.	-	.	gene_id "BALF1"; transcript_id "BALF1_lytic"; # predicted TATA at (165713)
V01555.2	genbank	exon	161008	164789	.	-	.	gene_id "BALF2"; transcript_id "BALF2_lytic";
V01555.2	genbank	3UTR	161008	164769	.	-	.	gene_id "BALF2"; transcript_id "BALF2_lytic"; # predicted polyA at (161013)
V01555.2	genbank	stop_codon	164770	164772	.	-	1	gene_id "BALF2"; transcript_id "BALF2_lytic";
V01555.2	genbank	CDS	161384	164773	.	-	1	gene_id "BALF2"; transcript_id "BALF2_lytic";
V01555.2	genbank	start_codon	161382	161384	.	-	1	gene_id "BALF2"; transcript_id "BALF2_lytic";
V01555.2	genbank	5UTR	161385	164789	.	-	.	gene_id "BALF2"; transcript_id "BALF2_lytic"; # predicted TATA at (164814)
V01555.2	genbank	exon	159308	161367	.	-	.	gene_id "BALF3"; transcript_id "BALF3_lytic";
V01555.2	genbank	3UTR	159308	159308	.	-	.	gene_id "BALF3"; transcript_id "BALF3_lytic"; # used (stop+1)
V01555.2	genbank	stop_codon	159309	159311	.	-	1	gene_id "BALF3"; transcript_id "BALF3_lytic";
V01555.2	genbank	CDS	159312	161366	.	-	1	gene_id "BALF3"; transcript_id "BALF3_lytic";
V01555.2	genbank	start_codon	161364	161366	.	-	1	gene_id "BALF3"; transcript_id "BALF3_lytic";
V01555.2	genbank	5UTR	161367	161367	.	-	.	gene_id "BALF3"; transcript_id "BALF3_lytic"; # used (ATG-1)
V01555.2	genbank	exon	156702	159345	.	-	.	gene_id "BALF4"; transcript_id "BALF4_lytic";
V01555.2	genbank	3UTR	156702	156748	.	-	.	gene_id "BALF4"; transcript_id "BALF4_lytic"; # predicted polyA at (156707)
V01555.2	genbank	stop_codon	156749	156751	.	-	0	gene_id "BALF4"; transcript_id "BALF4_lytic";
V01555.2	genbank	CDS	156752	159322	.	-	0	gene_id "BALF4"; transcript_id "BALF4_lytic";
V01555.2	genbank	start_codon	159320	159322	.	-	0	gene_id "BALF4"; transcript_id "BALF4_lytic";
V01555.2	genbank	5UTR	159323	159345	.	-	.	gene_id "BALF4"; transcript_id "BALF4_lytic"; # predicted TATA at (159370)
V01555.2	genbank	exon	156702	158501	.	-	.	gene_id "late-1.8kb"; transcript_id "late-1.8kb_lytic"; # predicted polyA at (156707)
V01555.2	genbank	exon	153698	156747	.	-	.	gene_id "BALF5"; transcript_id "BALF5_lytic";
